"MpTak_v6.1"	"Name"	"product"	"MPGENES"	"annots"
"Mp2g22120"	""	""	""	"[K01176]: AMY, amyA, malS; alpha-amylase [EC:3.2.1.1];
[KOG0471]: Alpha-amylase; [G];
[PTHR43447]: ALPHA-AMYLASE;
[PTHR43447:SF18]: ALPHA-AMYLASE 2-RELATED;
[PF07821]: Alpha-amylase C-terminal beta-sheet domain;
[PF00128]: Alpha amylase, catalytic domain"
"Mp2g22130"	""	""	""	"[K01053]: gnl, RGN; gluconolactonase [EC:3.1.1.17];
[KOG4499]: Ca2+-binding protein Regucalcin/SMP30; N-term missing; [PT];
[PTHR47572]: LIPOPROTEIN-RELATED;
[PF08450]: SMP-30/Gluconolactonase/LRE-like region"
"Mp2g22140"	""	""	""	"[PTHR31087];
[PTHR31087:SF91]: PROTEIN LURP-ONE-RELATED 1-RELATED;
[PF04525]: LURP-one-related"
"Mp2g22150"	""	""	""	"[K01053]: gnl, RGN; gluconolactonase [EC:3.1.1.17];
[KOG4499]: Ca2+-binding protein Regucalcin/SMP30; N-term missing; [PT];
[PTHR47572]: LIPOPROTEIN-RELATED;
[PF08450]: SMP-30/Gluconolactonase/LRE-like region"
"Mp2g22170"	""	""	""	"[PTHR13847:SF261]: FAD-DEPENDENT OXIDOREDUCTASE FAMILY PROTEIN;
[PTHR13847]: SARCOSINE DEHYDROGENASE-RELATED;
[PF01266]: FAD dependent oxidoreductase"
"Mp2g22180"	""	""	""	"[PTHR33524]: C5ORF35;
[PTHR33524:SF1]: C5ORF35"
"Mp2g22190"	""	""	""	"[K15322]: TSEN2; tRNA-splicing endonuclease subunit Sen2 [EC:4.6.1.16];
[KOG4685]: tRNA splicing endonuclease SEN2; [J];
[PTHR21227:SF2]: TRNA-SPLICING ENDONUCLEASE SUBUNIT SEN2-1-LIKE;
[PTHR21227]: TRNA-SPLICING ENDONUCLEASE SUBUNIT SEN2;
[PF02778]: tRNA intron endonuclease, N-terminal domain;
[PF01974]: tRNA intron endonuclease, catalytic C-terminal domain"
"Mp2g22250"	"MpAP2B3-1|MpRAV"	"transcription factor, AP2-B3"	"[MpAP2B3-1|MpRAV]: transcription factor, AP2-B3"	"[K09287]: RAV; RAV-like factor;
[PTHR31140:SF1]: AP2/ERF AND B3 DOMAIN-CONTAINING TRANSCRIPTION REPRESSOR TEM1;
[PTHR31140]: B3 DOMAIN-CONTAINING TRANSCRIPTION FACTOR ABI3;
[PF00847]: AP2 domain;
[PF02362]: B3 DNA binding domain"
"Mp2g22260"	""	""	""	"[PTHR36343]: EXPRESSED PROTEIN"
"Mp2g22270"	""	""	""	"[KOG1187]: Serine/threonine protein kinase; [T];
[KOG0618]: Serine/threonine phosphatase 2C containing leucine-rich repeats, similar to SCN circadian oscillatory protein (SCOP); C-term missing; [T];
[PTHR48006]: LEUCINE-RICH REPEAT-CONTAINING PROTEIN DDB_G0281931-RELATED;
[PTHR48006:SF20]: OS06G0301201 PROTEIN;
[PF13855]: Leucine rich repeat;
[PF00560]: Leucine Rich Repeat;
[PF00069]: Protein kinase domain"
"Mp2g22300"	"MpCupin42"	"Cupin"	"[MpCupin42]: Cupin"	"[K14977]: ylbA, UGHY; (S)-ureidoglycine aminohydrolase [EC:3.5.3.26];
[PTHR34571]: (S)-UREIDOGLYCINE AMINOHYDROLASE;
[PF07883]: Cupin domain"
"Mp2g22310"	""	""	""	"[K11991]: tadA; tRNA(adenine34) deaminase [EC:3.5.4.33];
[KOG1018]: Cytosine deaminase FCY1 and related enzymes; [F];
[PTHR11079]: CYTOSINE DEAMINASE FAMILY MEMBER;
[PTHR11079:SF179]: TRNA(ADENINE(34)) DEAMINASE, CHLOROPLASTIC;
[PF14437]: MafB19-like deaminase"
"Mp2g22320"	""	""	""	"[KOG2605]: OTU (ovarian tumor)-like cysteine protease; N-term missing; [TO];
[PTHR12419:SF71]: OTU-LIKE CYSTEINE PROTEASE DOMAIN CONTAINING PROTEIN;
[PTHR12419]: OTU DOMAIN CONTAINING PROTEIN;
[PF02338]: OTU-like cysteine protease"
"Mp2g22330"	""	""	""	"[KOG0251]: Clathrin assembly protein AP180 and related proteins, contain ENTH domain; [TU];
[PTHR22951:SF89]: OS05G0549000 PROTEIN;
[PTHR22951]: CLATHRIN ASSEMBLY PROTEIN;
[PF07651]: ANTH domain"
"Mp2g22350"	""	""	""	"[K14157]: AASS; alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9];
[KOG0172]: Lysine-ketoglutarate reductase/saccharopine dehydrogenase; [E];
[PTHR11133]: SACCHAROPINE DEHYDROGENASE;
[PF04455]: LOR/SDH bifunctional enzyme conserved region;
[PF16653]: Saccharopine dehydrogenase C-terminal domain;
[PF03435]: Saccharopine dehydrogenase NADP binding domain;
[PF05222]: Alanine dehydrogenase/PNT, N-terminal domain"
"Mp2g22360"	""	""	""	"[PTHR45648:SF100];
[PTHR45648]: GDSL LIPASE/ACYLHYDROLASE FAMILY PROTEIN (AFU_ORTHOLOGUE AFUA_4G14700);
[PF00657]: GDSL-like Lipase/Acylhydrolase"
"Mp2g22370"	""	""	""	"[PTHR21477:SF12]: PROTEIN PHLOEM PROTEIN 2-LIKE A10;
[PTHR21477]: ZGC:172139"
"Mp2g22380"	""	""	""	"[PTHR45966]: GDSL-LIKE LIPASE/ACYLHYDROLASE;
[PTHR45966:SF13]: GDSL-LIKE LIPASE/ACYLHYDROLASE;
[PF00657]: GDSL-like Lipase/Acylhydrolase"
"Mp2g22390"	"MpGST29"	"glutathione S-transferase"	"[MpGST29]: glutathione S-transferase"	"[K00799]: GST, gst; glutathione S-transferase [EC:2.5.1.18];
[KOG0867]: Glutathione S-transferase; [O];
[PTHR43900]: GLUTATHIONE S-TRANSFERASE RHO;
[PF02798]: Glutathione S-transferase, N-terminal domain;
[PF00043]: Glutathione S-transferase, C-terminal domain"
"Mp2g22410"	"MpGST30"	"glutathione S-transferase"	"[MpGST30]: glutathione S-transferase"	"[K00799]: GST, gst; glutathione S-transferase [EC:2.5.1.18];
[KOG0867]: Glutathione S-transferase; [O];
[PTHR43900]: GLUTATHIONE S-TRANSFERASE RHO;
[PF02798]: Glutathione S-transferase, N-terminal domain;
[PF00043]: Glutathione S-transferase, C-terminal domain"
"Mp2g22440"	"MpCE8.6"	"Cell wall related protein"	"[MpCE8.6]: Cell wall related protein"	"[K01051]: E3.1.1.11; pectinesterase [EC:3.1.1.11];
[PTHR31321:SF73]: PECTINESTERASE 14-RELATED;
[PTHR31321]: ACYL-COA THIOESTER HYDROLASE YBHC-RELATED;
[PF01095]: Pectinesterase"
"Mp2g22460"	""	""	""	"[K08744]: CRLS; cardiolipin synthase (CMP-forming) [EC:2.7.8.41];
[KOG1617]: CDP-alcohol phosphatidyltransferase/Phosphatidylglycerol-phosphate synthase; N-term missing; [I];
[PTHR14269]: CDP-DIACYLGLYCEROL--GLYCEROL-3-PHOSPHATE 3-PHOSPHATIDYLTRANSFERASE-RELATED;
[PTHR14269:SF11]: CARDIOLIPIN SYNTHASE (CMP-FORMING);
[PF01066]: CDP-alcohol phosphatidyltransferase"
"Mp2g22480"	"MpHAT3"	"Chromatin related protein"	"[MpHAT3]: Chromatin related protein"	"[K04498]: EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48];
[KOG1778]: CREB binding protein/P300 and related TAZ Zn-finger proteins; [K];
[KOG4274]: Positive cofactor 2 (PC2), subunit of a multiprotein coactivator of RNA polymerase II; C-term missing; [K];
[PTHR13808]: CBP/P300-RELATED;
[PTHR13808:SF40]: ZINC FINGER, TAZ-TYPE-RELATED;
[PF02135]: TAZ zinc finger;
[PF00569]: Zinc finger, ZZ type;
[PF08214]: Histone acetylation protein"
"Mp2g22490"	"MpZIP4"	"transcription factor, Fe homeostasis protein"	"[MpZIP4]: transcription factor, Fe homeostasis protein"	"[K14709]: SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3;
[KOG1558]: Fe2+/Zn2+ regulated transporter; [P];
[PTHR11040:SF140]: ZINC TRANSPORTER 11;
[PTHR11040]: ZINC/IRON TRANSPORTER;
[PF02535]: ZIP Zinc transporter"
"Mp2g22500"	"MpMATE12"	"organic acid biosynthesis and exudation"	"[MpMATE12]: organic acid biosynthesis and exudation"	"[K03327]: TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family;
[KOG1347]: Uncharacterized membrane protein, predicted efflux pump; [R];
[PTHR11206:SF374]: PROTEIN DETOXIFICATION 49;
[PTHR11206]: MULTIDRUG RESISTANCE PROTEIN;
[PF01554]: MatE"
"Mp2g22520"	"MpMORF"	"Chromatin related protein"	"[MpMORF]: Chromatin related protein"	"[K11339]: MORF4L1, MRG15, EAF3; mortality factor 4-like protein 1;
[KOG3001]: Dosage compensation regulatory complex/histone acetyltransferase complex, subunit MSL-3/MRG15/EAF3, and related CHROMO domain-containing proteins; [BK];
[PTHR10880]: MORTALITY FACTOR 4-LIKE PROTEIN;
[PTHR10880:SF44]: PROTEIN MRG1-LIKE ISOFORM X1;
[PF05712]: MRG;
[PF11717]: RNA binding activity-knot of a chromodomain"
"Mp2g22530"	""	""	""	"[KOG0612]: Rho-associated, coiled-coil containing protein kinase; N-term missing; C-term missing; [T]"
"Mp2g22560"	"MpR2R3-MYB13"	"transcription factor, MYB"	"[MpR2R3-MYB13]: transcription factor, MYB"	"[K09422]: MYBP; transcription factor MYB, plant;
[KOG0048]: Transcription factor, Myb superfamily; [K];
[PTHR47997]: MYB DOMAIN PROTEIN 55;
[PTHR47997:SF21]: MYB DOMAIN PROTEIN 55;
[PF00249]: Myb-like DNA-binding domain"
"Mp2g22570"	""	""	""	"[K13100]: CWC22; pre-mRNA-splicing factor CWC22;
[KOG2140]: Uncharacterized conserved protein; [R];
[KOG0670]: U4/U6-associated splicing factor PRP4; C-term missing; [A];
[PTHR18034]: CELL CYCLE CONTROL PROTEIN CWF22-RELATED;
[PTHR18034:SF3]: PRE-MRNA-SPLICING FACTOR CWC22 HOMOLOG;
[PF02847]: MA3 domain;
[PF02854]: MIF4G domain"
"Mp2g22580"	""	""	""	"[PTHR34205]: TRANSMEMBRANE PROTEIN;
[PF06127]: Protein of unknown function (DUF962)"
"Mp2g22600"	"MpDFR-like8"	"Secondary metabolism enzyme"	"[MpDFR-like8]: Secondary metabolism enzyme"	"[K08679]: GAE, cap1J; UDP-glucuronate 4-epimerase [EC:5.1.3.6];
[KOG1371]: UDP-glucose 4-epimerase/UDP-sulfoquinovose synthase; [M];
[PTHR43574]: EPIMERASE-RELATED;
[PTHR43574:SF58]: UDP-GLUCURONATE 4-EPIMERASE 5;
[PF01370]: NAD dependent epimerase/dehydratase family"
"Mp2g22610"	""	""	""	"[K08679]: GAE, cap1J; UDP-glucuronate 4-epimerase [EC:5.1.3.6];
[KOG1371]: UDP-glucose 4-epimerase/UDP-sulfoquinovose synthase; [M];
[PTHR43574]: EPIMERASE-RELATED;
[PTHR43574:SF31]: UDP-GLUCURONATE 4-EPIMERASE 2-RELATED;
[PF16363]: GDP-mannose 4,6 dehydratase"
"Mp2g22630"	""	""	""	"[K13993]: HSP20; HSP20 family protein;
[KOG0710]: Molecular chaperone (small heat-shock protein Hsp26/Hsp42); N-term missing; [O];
[PTHR11527]: HEAT-SHOCK PROTEIN 20 FAMILY MEMBER;
[PTHR11527:SF321]: 18.1 KDA CLASS I HEAT SHOCK PROTEIN;
[PF00011]: Hsp20/alpha crystallin family"
"Mp2g22650"	"MpDWF5"	"Secondary metabolism enzyme, sterol biosynthesis"	"[MpDWF5]: Secondary metabolism enzyme, sterol biosynthesis"	"[K01824]: EBP; cholestenol Delta-isomerase [EC:5.3.3.5];
[KOG4826]: C-8,7 sterol isomerase; [I];
[PTHR14207]: STEROL ISOMERASE;
[PTHR14207:SF0]: 3-BETA-HYDROXYSTEROID-DELTA(8),DELTA(7)-ISOMERASE;
[PF05241]: EXPERA (EXPanded EBP superfamily)"
"Mp2g22660"	"MpGH16.13"	"Cell wall related protein"	"[MpGH16.13]: Cell wall related protein"	"[K08235]: E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207];
[PTHR31062:SF243]: XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 5-RELATED;
[PTHR31062]: XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 8-RELATED;
[PF00722]: Glycosyl hydrolases family 16;
[PF06955]: Xyloglucan endo-transglycosylase (XET) C-terminus"
"Mp2g22670"	""	""	""	"[K12863]: CWC15; protein CWC15;
[KOG3228]: Uncharacterized conserved protein; [S];
[PTHR12718:SF6];
[PTHR12718]: CELL CYCLE CONTROL PROTEIN CWF15;
[PF04889]: Cwf15/Cwc15 cell cycle control protein"
"Mp2g22680"	""	""	""	"[PTHR36384:SF1]: SAWADEE PROTEIN;
[PTHR36384]: SAWADEE PROTEIN;
[PF16719]: SAWADEE domain"
"Mp2g22690"	"MpPKS/CHS5"	"Secondary metabolism enzyme"	"[MpPKS/CHS5]: Secondary metabolism enzyme"	"[K00660]: CHS; chalcone synthase [EC:2.3.1.74];
[PTHR11877:SF14]: CHALCONE SYNTHASE;
[PTHR11877]: HYDROXYMETHYLGLUTARYL-COA SYNTHASE;
[PF02797]: Chalcone and stilbene synthases, C-terminal domain;
[PF00195]: Chalcone and stilbene synthases, N-terminal domain"
"Mp2g22700"	"MpPKS/CHS6"	"Secondary metabolism enzyme"	"[MpPKS/CHS6]: Secondary metabolism enzyme"	"[K00660]: CHS; chalcone synthase [EC:2.3.1.74];
[PTHR11877:SF14]: CHALCONE SYNTHASE;
[PTHR11877]: HYDROXYMETHYLGLUTARYL-COA SYNTHASE;
[PF00195]: Chalcone and stilbene synthases, N-terminal domain;
[PF02797]: Chalcone and stilbene synthases, C-terminal domain"
"Mp2g22710"	"MpNPF4"	"NPF transporter"	"[MpNPF4]: NPF transporter"	"[KOG1237]: H+/oligopeptide symporter; N-term missing; [E];
[PTHR11654]: OLIGOPEPTIDE TRANSPORTER-RELATED;
[PTHR11654:SF509]: SOLUTE CARRIER FAMILY 15 MEMBER 4;
[PF00854]: POT family"
"Mp2g22750"	""	""	""	"[PTHR46301]: F-BOX/KELCH-REPEAT PROTEIN;
[PF00646]: F-box domain"
"Mp2g22770"	""	""	""	"[PTHR31984]: TRANSPORTER, PUTATIVE (DUF179)-RELATED;
[PF02622]: Uncharacterized ACR, COG1678"
"Mp2g22780"	"MpPKS/CHS7"	"Secondary metabolism enzyme"	"[MpPKS/CHS7]: Secondary metabolism enzyme"	"[K00660]: CHS; chalcone synthase [EC:2.3.1.74];
[PTHR11877:SF14]: CHALCONE SYNTHASE;
[PTHR11877]: HYDROXYMETHYLGLUTARYL-COA SYNTHASE;
[PF02797]: Chalcone and stilbene synthases, C-terminal domain;
[PF00195]: Chalcone and stilbene synthases, N-terminal domain"
"Mp2g22790"	""	""	""	"[K01834]: PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11];
[KOG0235]: Phosphoglycerate mutase; [G];
[PTHR11931]: PHOSPHOGLYCERATE MUTASE;
[PTHR11931:SF0]: PHOSPHOGLYCERATE MUTASE;
[PF00300]: Histidine phosphatase superfamily (branch 1)"
"Mp2g22810"	""	""	""	"[K17545]: ULK4; serine/threonine-protein kinase ULK4 [EC:2.7.11.1];
[KOG0597]: Serine-threonine protein kinase FUSED; [R];
[PTHR46562]: SERINE/THREONINE-KINASE ULK4-LIKE PROTEIN-RELATED;
[PF00069]: Protein kinase domain"
"Mp2g22820"	"MpABI5B|MpBZIP12"	"bZIP transcription factor;transcription factor, bZIP"	"[MpABI5B|MpBZIP12]: bZIP transcription factor;transcription factor, bZIP"	"[K14432]: ABF; ABA responsive element binding factor;
[KOG4343]: bZIP transcription factor ATF6; N-term missing; C-term missing; [K];
[PTHR22952]: CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED;
[PTHR22952:SF436]: ABSCISIC ACID-INSENSITIVE 5-LIKE PROTEIN 7;
[PF00170]: bZIP transcription factor"
"Mp2g22830"	"MpUGT80"	"UDP glycosyl transferase, Secondary metabolism enzyme"	"[MpUGT80]: UDP glycosyl transferase, Secondary metabolism enzyme"	"[K05841]: E2.4.1.173; sterol 3beta-glucosyltransferase [EC:2.4.1.173];
[KOG1192]: UDP-glucuronosyl and UDP-glucosyl transferase; N-term missing; [GC];
[PTHR48050]: STEROL 3-BETA-GLUCOSYLTRANSFERASE;
[PTHR48050:SF2]: UDP-GLUCOSE:STEROL GLUCOSYLTRANSFERASE SGT4;
[PF03033]: Glycosyltransferase family 28 N-terminal domain;
[PF00201]: UDP-glucoronosyl and UDP-glucosyl transferase"
"Mp2g22860"	"MpGH16.14"	"Cell wall related protein"	"[MpGH16.14]: Cell wall related protein"	"[K08235]: E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207];
[PTHR31062]: XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 8-RELATED;
[PTHR31062:SF120]: XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 10-RELATED;
[PF00722]: Glycosyl hydrolases family 16;
[PF06955]: Xyloglucan endo-transglycosylase (XET) C-terminus"
"Mp2g22880"	""	""	""	"[PTHR37695]: RECOMBINATION INITIATION DEFECTS 3-RELATED;
[PTHR37695:SF1]: RECOMBINATION INITIATION DEFECTS 3-RELATED"
"Mp2g22890"	""	""	""	"[K10298]: FBXO15; F-box protein 15;
[PTHR46731]: F-BOX ONLY PROTEIN 15;
[PF12937]: F-box-like"
"Mp2g22900"	"MpDIR24"	"Secondary metabolism enzyme"	"[MpDIR24]: Secondary metabolism enzyme"	"[PTHR21495:SF78]: DIRIGENT PROTEIN 19;
[PTHR21495]: NUCLEOPORIN-RELATED;
[PF03018]: Dirigent-like protein"
"Mp2g22920"	""	""	""	"[KOG1187]: Serine/threonine protein kinase; [T];
[KOG0618]: Serine/threonine phosphatase 2C containing leucine-rich repeats, similar to SCN circadian oscillatory protein (SCOP); C-term missing; [T];
[PTHR48052:SF2]: LEUCINE-RICH REPEAT RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE-RELATED;
[PTHR48052]: UNNAMED PRODUCT;
[PTHR47989]: OS01G0750732 PROTEIN;
[PF08263]: Leucine rich repeat N-terminal domain;
[PF00560]: Leucine Rich Repeat;
[PF13855]: Leucine rich repeat;
[PF00069]: Protein kinase domain"
"Mp2g22940"	""	""	""	"[PTHR47679]: PROTEIN TORNADO 1;
[PF08477]: Ras of Complex, Roc, domain of DAPkinase"
"Mp2g22950"	""	""	""	"[K00963]: UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9];
[KOG2638]: UDP-glucose pyrophosphorylase; [G];
[PTHR43511:SF8]: UTP--GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE;
[PTHR43511];
[PF01704]: UTP--glucose-1-phosphate uridylyltransferase"
"Mp2g22970"	""	""	""	"[K12178]: COPS4, CSN4; COP9 signalosome complex subunit 4;
[KOG1497]: COP9 signalosome, subunit CSN4; [OT];
[PTHR10855:SF5]: COP9 SIGNALOSOME COMPLEX SUBUNIT 4-LIKE;
[PTHR10855]: 26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 12/COP9 SIGNALOSOME COMPLEX SUBUNIT 4;
[PF01399]: PCI domain"
"Mp2g22980"	""	""	""	"[KOG1454]: Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily); [R];
[KOG4409]: Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily); C-term missing; [R];
[PTHR45763:SF46];
[PTHR45763]: HYDROLASE, ALPHA/BETA FOLD FAMILY PROTEIN, EXPRESSED-RELATED;
[PF12697]: Alpha/beta hydrolase family;
[PF00561]: alpha/beta hydrolase fold"
"Mp2g23000"	"MpBZR3"	"transcription factor, BZR/BES"	"[MpBZR3]: transcription factor, BZR/BES"	"[PTHR31506]: BES1/BZR1 HOMOLOG PROTEIN 3-RELATED;
[PTHR31506:SF2]: BES1/BZR1 HOMOLOG PROTEIN 3;
[PF05687]: BES1/BZR1 plant transcription factor, N-terminal"
"Mp2g23010"	"MpRAB1A"	"RAB GTPase"	"[MpRAB1A]: RAB GTPase"	"[K07874]: RAB1A; Ras-related protein Rab-1A;
[KOG0084]: GTPase Rab1/YPT1, small G protein superfamily, and related GTP-binding proteins; [TU];
[PTHR47977]: LD21953P-RELATED;
[PTHR47977:SF6]: RAS-RELATED PROTEIN RABD2A-LIKE;
[PF00071]: Ras family"
"Mp2g23020"	""	""	""	"[K18740]: EXD1, EGL; exonuclease 3'-5' domain-containing protein 1;
[KOG2405]: Predicted 3'-5' exonuclease; N-term missing; [L];
[PTHR46814:SF4];
[PTHR46814]: EGALITARIAN, ISOFORM B;
[PF01612]: 3'-5' exonuclease;
[PF00013]: KH domain"
"Mp2g23040"	""	""	""	"[PTHR47052:SF3]: CONSERVED SERINE PROLINE-RICH PROTEIN (AFU_ORTHOLOGUE AFUA_2G01790);
[PTHR47052]: CONSERVED SERINE PROLINE-RICH PROTEIN (AFU_ORTHOLOGUE AFUA_2G01790);
[PF00168]: C2 domain"
"Mp2g23050"	"MpDOX9"	"Secondary metabolism enzyme, Hormone related protein, GA related protein"	"[MpDOX9]: Secondary metabolism enzyme, Hormone related protein, GA related protein"	"[KOG0143]: Iron/ascorbate family oxidoreductases; [QR];
[PTHR47991]: OXOGLUTARATE/IRON-DEPENDENT DIOXYGENASE;
[PTHR47991:SF15]: GIBBERELLIN 20-OXIDASE;
[PF14226]: non-haem dioxygenase in morphine synthesis N-terminal;
[PF03171]: 2OG-Fe(II) oxygenase superfamily"
"Mp2g23060"	""	""	""	"[K00626]: ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
"Mp2g23080"	""	""	""	"[K12190]: VPS36, EAP45; ESCRT-II complex subunit VPS36;
[KOG2760]: Vacuolar sorting protein VPS36; [U];
[PTHR13128]: VACUOLAR PROTEIN-SORTING-ASSOCIATED PROTEIN 36;
[PF04157]: EAP30/Vps36 family"
"Mp2g23090"	""	""	""	"[KOG1071]: Mitochondrial translation elongation factor EF-Tsmt, catalyzes nucleotide exchange on EF-Tumt; [J];
[PTHR11741]: ELONGATION FACTOR TS;
[PF00889]: Elongation factor TS"
"Mp2g23100"	""	""	""	"[KOG0907]: Thioredoxin; C-term missing; [O];
[PTHR43601:SF11]: EXPRESSED PROTEIN;
[PTHR43601]: THIOREDOXIN, MITOCHONDRIAL;
[PF00085]: Thioredoxin"
"Mp2g23110"	""	""	""	"[K03686]: dnaJ; molecular chaperone DnaJ;
[KOG0713]: Molecular chaperone (DnaJ superfamily); C-term missing; [O];
[PTHR36031]: F21O3.15 PROTEIN;
[PF00226]: DnaJ domain"
"Mp2g23120"	""	""	""	"[KOG1906]: DNA polymerase sigma; C-term missing; [L];
[PTHR23092]: POLY(A) RNA POLYMERASE;
[PTHR23092:SF48]: NUCLEOTIDYLTRANSFERASE FAMILY PROTEIN;
[PF01909]: Nucleotidyltransferase domain;
[PF03828]: Cid1 family poly A polymerase"
"Mp2g23140"	""	""	""	"[KOG1239]: Inner membrane protein translocase involved in respiratory chain assembly; N-term missing; [OU];
[PTHR12428:SF53]: ALBINO3-LIKE PROTEIN 3, MITOCHONDRIAL;
[PTHR12428]: OXA1"
"Mp2g23150"	"MpBromo6"	"Chromatin related protein"	"[MpBromo6]: Chromatin related protein"	"[K11321]: BRD8; bromodomain-containing protein 8;
[KOG1474]: Transcription initiation factor TFIID, subunit BDF1 and related bromodomain proteins; N-term missing; C-term missing; [K];
[PTHR15398]: BROMODOMAIN-CONTAINING PROTEIN 8;
[PF00439]: Bromodomain"
"Mp2g23160"	""	""	""	"[PTHR33477]: P-LOOP NTPASE DOMAIN-CONTAINING PROTEIN LPA1 HOMOLOG 1;
[PTHR33477:SF2]: P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN;
[PF13238]: AAA domain"
"Mp2g23170"	""	""	""	"[PTHR10992]: METHYLESTERASE FAMILY MEMBER;
[PTHR10992:SF872]: METHYLESTERASE 11, CHLOROPLASTIC-RELATED;
[PF12697]: Alpha/beta hydrolase family"
"Mp2g23180"	""	""	""	"[PTHR10992:SF872]: METHYLESTERASE 11, CHLOROPLASTIC-RELATED;
[PTHR10992]: METHYLESTERASE FAMILY MEMBER;
[PF12697]: Alpha/beta hydrolase family"
"Mp2g23200"	""	""	""	"[K11824]: AP2A; AP-2 complex subunit alpha;
[KOG1077]: Vesicle coat complex AP-2, alpha subunit; [U];
[PTHR22780:SF37]: AP-2 COMPLEX SUBUNIT ALPHA;
[PTHR22780]: ADAPTIN, ALPHA/GAMMA/EPSILON;
[PF02296]: Alpha adaptin AP2, C-terminal domain;
[PF01602]: Adaptin N terminal region;
[PF02883]: Adaptin C-terminal domain"
"Mp2g23210"	""	""	""	"[KOG1575]: Voltage-gated shaker-like K+ channel, subunit beta/KCNAB; [C];
[PTHR43150:SF10]: POTASSIUM CHANNEL BETA SUBUNIT 1-RELATED;
[PTHR43150]: HYPERKINETIC, ISOFORM M;
[PF00248]: Aldo/keto reductase family"
"Mp2g23220"	"MpPPR_47"	"Pentatricopeptide repeat proteins"	"[MpPPR_47]: Pentatricopeptide repeat proteins"	"[PTHR47874]: EXPRESSED PROTEIN;
[PF13041]: PPR repeat family;
[PF01535]: PPR repeat"
"Mp2g23230"	""	""	""	"[PTHR36042]: OS05G0490900 PROTEIN"
"Mp2g23250"	""	""	""	"[K02936]: RP-L7Ae, RPL7A; large subunit ribosomal protein L7Ae;
[KOG3166]: 60S ribosomal protein L7A; [J];
[PTHR23105:SF168]: BNAA03G47020D PROTEIN;
[PTHR23105]: RIBOSOMAL PROTEIN L7AE FAMILY MEMBER;
[PF01248]: Ribosomal protein L7Ae/L30e/S12e/Gadd45 family"
"Mp2g23260"	""	""	""	"[K02879]: RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17;
[KOG3280]: Mitochondrial/chloroplast ribosomal protein L17; C-term missing; [J];
[PTHR14413]: RIBOSOMAL PROTEIN L17;
[PF01196]: Ribosomal protein L17"
"Mp2g23270"	""	""	""	"[K23040]: METTL22; methyltransferase-like protein 22 [EC:2.1.1.-];
[KOG2497]: Predicted methyltransferase; [R];
[PTHR23108:SF0]: METHYLTRANSFERASE-LIKE PROTEIN 22;
[PTHR23108]: METHYLTRANSFERASE-RELATED;
[PF10294]: Lysine methyltransferase"
"Mp2g23280"	""	""	""	"[K01889]: FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20];
[KOG2783]: Phenylalanyl-tRNA synthetase; [J];
[PTHR11538:SF41]: PHENYLALANINE--TRNA LIGASE, MITOCHONDRIAL;
[PTHR11538]: PHENYLALANYL-TRNA SYNTHETASE;
[PF03147]: Ferredoxin-fold anticodon binding domain;
[PF01409]: tRNA synthetases class II core domain (F)"
"Mp2g23300"	""	""	""	"[PTHR19878]: AUTOPHAGY PROTEIN 16-LIKE;
[PTHR19878:SF17]: TRANSDUCIN/WD40 REPEAT-LIKE SUPERFAMILY PROTEIN"
"Mp2g23330"	""	""	""	"[PTHR31549]: PROTEIN, PUTATIVE (DUF247)-RELATED-RELATED;
[PF03140]: Plant protein of unknown function"
"Mp2g23370"	"MpLOX15"	"Lipoxygenase"	"[MpLOX15]: Lipoxygenase"	"[K15718]: LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58];
[PTHR11771]: LIPOXYGENASE;
[PTHR11771:SF170]: LIPOXYGENASE-2;
[PF00305]: Lipoxygenase"
